expenditure_date,committee_name,expense_category,payee_name,address,payee_type,amount,expense_purpose
2021-08-07,Represent Maryland PAC,Media,GoDaddy  Inc,14455 Hayden Road  Scottsdale  Arizona 85260,Business/Group/Organization,155.8,Media - Website Development
2021-05-27,Gahler  Jeff Committee To Elect,Media,Domains Priced Right,2150 E. Warner Road  Tempe  Arizona 85284,Business/Group/Organization,149.36,Media - Website Development
2021-08-09,Gahler  Jeff Committee To Elect,Media,Domains Priced Right,2150 E. Warner Road  Tempe  Arizona 85284,Business/Group/Organization,95.88,Online Advertising
2022-06-24,Keogh  Maureen for Judge,Media,Forever Media,Port Street  Easton  Maryland 21601,Business/Group/Organization,978,Radio
2022-02-15,Young  Calvin Supporters of,Media,Sign Rocket,340 Broadway Ave  St. Paul Park  Minnesota 55071,Business/Group/Organization,1100,Billboards / Outdoor Advertising
2021-01-21,Healey  Anne Friends of,Media,Rice Consulting  LLC,17 West Courtland Street  Suite 210  Bel Air  Maryland 21014,Business/Group/Organization,643.15,Media - Website Development
2021-05-05,Healey  Anne Friends of,Media,Rice Consulting  LLC,17 West Courtland Street  Suite 210  Bel Air  Maryland 21014,Business/Group/Organization,112.5,Media - Website Development
2021-05-05,Healey  Anne Friends of,Media,Rice Consulting  LLC,17 West Courtland Street  Suite 210  Bel Air  Maryland 21014,Business/Group/Organization,168,Consulting Fees - Media
2021-08-02,Healey  Anne Friends of,Media,Rice Consulting  LLC,17 West Courtland Street  Suite 210  Bel Air  Maryland 21014,Business/Group/Organization,168,Consulting Fees - Media
2021-12-29,Boffman  Daryl Friends of,Media,88Visual,17930 Garden Ln  Hagerstown  Maryland 21740,Business/Group/Organization,1250,Videos
2021-09-09,Boffman  Daryl Friends of,Media,88Visual,17930 Garden Ln  Hagerstown  Maryland 21740,Business/Group/Organization,1125,Videos
2021-08-03,Boffman  Daryl Friends of,Media,88Visual,17930 Garden Ln  Hagerstown  Maryland 21740,Business/Group/Organization,2500,Videos
